onet_soc_code,occupation_title,job_zone,top_gwas,physical_context,is_apprenticeable,rapids_term_hours,carollo_licensed,carollo_n_states,carollo_pct,carollo_match_level
13-2011.00,Accountants and Auditors,4,"Getting Information (4.5); Working with Computers (4.5); Communicating with Supervisors, Peers, or Subordinates (4.4); Evaluating Information to Determine Compliance with Standards (4.4); Documenting/Recording Information (4.3)","Importance of Being Exact or Accurate (4.7); Indoors, Environmentally Controlled (4.6); Contact With Others (4.5); Spend Time Sitting (4.5); Freedom to Make Decisions (4.0)",True,,R0_or_R1,0,0.0,direct
27-2011.00,Actors,2,"Establishing and Maintaining Interpersonal Relationships (4.6); Thinking Creatively (4.4); Performing for or Working Directly with the Public (4.2); Performing General Physical Activities (4.0); Communicating with Supervisors, Peers, or Subordinates (4.0)","Contact With Others (4.7); Indoors, Environmentally Controlled (4.6); Importance of Being Exact or Accurate (4.2); Wear Specialized Protective Equipment (1.1); Spend Time Standing (3.8)",True,,,,,
15-2011.00,Actuaries,4,Analyzing Data or Information (4.8); Processing Information (4.7); Working with Computers (4.7); Getting Information (4.5); Making Decisions and Solving Problems (4.5),"Indoors, Environmentally Controlled (5.0); Spend Time Sitting (4.9); Importance of Being Exact or Accurate (4.4); Indoors, Not Environmentally Controlled (1.0); Outdoors, Exposed to All Weather Conditions (1.0)",False,,R3,1,1.0,direct
29-1141.01,Acute Care Nurses,4,"Assisting and Caring for Others (4.7); Documenting/Recording Information (4.5); Communicating with Supervisors, Peers, or Subordinates (4.5); Making Decisions and Solving Problems (4.4); Getting Information (4.4)",Exposed to Disease or Infections (5.0); Wear Common Protective Equipment (4.8); Importance of Being Exact or Accurate (4.7); Contact With Others (4.7); Consequence of Error (4.5),False,,R3,51,1.0,direct
25-2059.01,Adapted Physical Education Specialists,5,Performing General Physical Activities (4.5); Assisting and Caring for Others (4.4); Getting Information (4.1); Thinking Creatively (4.0); Developing Objectives and Strategies (4.0),Freedom to Make Decisions (4.5); Spend Time Standing (4.4); Contact With Others (4.4); In an Open Vehicle or Operating Equipment (1.1); Wear Specialized Protective Equipment (1.1),False,,R3,51,1.0,minor
51-9191.00,Adhesive Bonding Machine Operators and Tenders,2,"Controlling Machines and Processes (4.6); Handling and Moving Objects (4.4); Inspecting Equipment, Structures, or Materials (4.4); Getting Information (4.2); Performing General Physical Activities (4.2)",Spend Time Using Hands to Handle/Control Objects (4.6); Contact With Others (4.6); Spend Time Standing (4.6); Wear Common Protective Equipment (4.5); Freedom to Make Decisions (4.1),False,,,,,
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,Making Decisions and Solving Problems (4.6); Getting Information (4.6); Evaluating Information to Determine Compliance with Standards (4.4); Updating and Using Relevant Knowledge (4.3); Processing Information (4.2),"Indoors, Environmentally Controlled (5.0); Spend Time Sitting (4.9); Freedom to Make Decisions (4.5); Importance of Being Exact or Accurate (4.5); Contact With Others (4.4)",True,6000,,,,
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,Thinking Creatively (4.1); Interpreting the Meaning of Information for Others (4.0); Coaching and Developing Others (3.8); Training and Teaching Others (3.8); Making Decisions and Solving Problems (3.8),Contact With Others (4.3); Freedom to Make Decisions (4.2); In an Open Vehicle or Operating Equipment (1.0); In an Enclosed Vehicle or Operate Enclosed Equipment (1.0); Exposed to Hazardous Equipment (1.0),False,,,,,
29-1141.02,Advanced Practice Psychiatric Nurses,5,Assisting and Caring for Others (5.0); Documenting/Recording Information (4.8); Updating and Using Relevant Knowledge (4.7); Establishing and Maintaining Interpersonal Relationships (4.7); Making Decisions and Solving Problems (4.7),"Freedom to Make Decisions (4.7); Importance of Being Exact or Accurate (4.6); Contact With Others (4.5); Spend Time Sitting (4.5); Indoors, Environmentally Controlled (4.4)",False,,R3,51,1.0,direct
41-3011.00,Advertising Sales Agents,4,Selling or Influencing Others (4.9); Communicating with People Outside the Organization (4.7); Establishing and Maintaining Interpersonal Relationships (4.5); Thinking Creatively (4.3); Performing for or Working Directly with the Public (4.3),Contact With Others (4.8); Freedom to Make Decisions (4.5); In an Enclosed Vehicle or Operate Enclosed Equipment (4.1); Importance of Being Exact or Accurate (4.0); Exposed to Hazardous Conditions (1.0),False,,,,,
